0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.646,-1.922,2.261
0.962,2.051,-0.589,1.647,-1.922,2.261
0.963,2.046,-0.589,1.632,-1.936,2.275
0.965,2.039,-0.589,1.592,-1.968,2.31
0.963,2.028,-0.59,1.529,-1.999,2.367
0.963,2.013,-0.59,1.465,-2.009,2.436
0.962,1.996,-0.59,1.396,-2.014,2.488
0.962,1.977,-0.589,1.347,-2.016,2.517
0.957,1.956,-0.583,1.325,-2.013,2.523
0.945,1.939,-0.589,1.327,-2.006,2.523
0.93,1.919,-0.589,1.339,-1.999,2.523
0.909,1.894,-0.583,1.353,-2.0,2.523
0.89,1.868,-0.58,1.365,-2.006,2.523
0.871,1.842,-0.58,1.381,-2.008,2.523
0.854,1.813,-0.578,1.403,-2.008,2.523
0.839,1.779,-0.578,1.437,-2.008,2.523
0.828,1.743,-0.578,1.48,-2.008,2.523
0.822,1.698,-0.581,1.543,-2.006,2.523
0.821,1.649,-0.586,1.621,-2.003,2.523
0.821,1.6,-0.587,1.704,-2.0,2.523
0.821,1.548,-0.589,1.784,-1.999,2.523
0.821,1.497,-0.589,1.862,-1.999,2.523
0.821,1.449,-0.589,1.934,-2.005,2.523
0.822,1.403,-0.589,2.003,-2.008,2.523
0.822,1.362,-0.589,2.069,-2.017,2.523
0.824,1.322,-0.589,2.128,-2.034,2.523
0.824,1.287,-0.589,2.186,-2.054,2.523
0.824,1.255,-0.589,2.241,-2.077,2.523
0.824,1.226,-0.589,2.296,-2.105,2.523
0.824,1.2,-0.589,2.35,-2.131,2.523
0.824,1.175,-0.589,2.398,-2.152,2.523
0.824,1.15,-0.589,2.431,-2.172,2.523
0.824,1.123,-0.589,2.462,-2.19,2.523
0.824,1.094,-0.589,2.493,-2.192,2.52
0.824,1.058,-0.589,2.522,-2.187,2.514
0.824,1.018,-0.589,2.548,-2.184,2.502
0.824,0.975,-0.589,2.557,-2.175,2.488
0.824,0.931,-0.589,2.565,-2.164,2.48
0.822,0.888,-0.589,2.566,-2.161,2.479
0.821,0.85,-0.589,2.568,-2.16,2.479
0.821,0.816,-0.589,2.568,-2.158,2.479
0.821,0.785,-0.589,2.56,-2.158,2.479
0.821,0.756,-0.589,2.549,-2.158,2.479
0.821,0.73,-0.589,2.53,-2.158,2.479
0.821,0.701,-0.589,2.502,-2.158,2.479
0.821,0.672,-0.589,2.466,-2.157,2.479
0.821,0.643,-0.589,2.422,-2.152,2.479
0.821,0.615,-0.589,2.364,-2.141,2.479
0.822,0.589,-0.589,2.296,-2.114,2.479
0.822,0.567,-0.589,2.22,-2.066,2.479
0.822,0.551,-0.589,2.14,-2.003,2.48
0.822,0.541,-0.589,2.063,-1.917,2.48
0.822,0.535,-0.58,1.99,-1.805,2.482
0.822,0.543,-0.577,1.92,-1.687,2.482
0.822,0.564,-0.577,1.871,-1.568,2.482
0.818,0.597,-0.577,1.83,-1.474,2.482
0.813,0.635,-0.577,1.789,-1.403,2.482
0.811,0.676,-0.578,1.75,-1.353,2.482
0.81,0.721,-0.578,1.707,-1.319,2.482
0.808,0.77,-0.578,1.669,-1.298,2.482
0.807,0.825,-0.578,1.637,-1.293,2.482
0.798,0.879,-0.578,1.635,-1.292,2.482
0.781,0.931,-0.584,1.663,-1.304,2.482
0.756,0.982,-0.586,1.706,-1.328,2.482
0.724,1.029,-0.587,1.761,-1.364,2.482
0.687,1.074,-0.589,1.818,-1.42,2.482
0.649,1.111,-0.589,1.874,-1.492,2.48
0.607,1.143,-0.589,1.936,-1.583,2.48
0.574,1.173,-0.589,1.997,-1.69,2.48
0.549,1.204,-0.589,2.06,-1.815,2.48
